회사,,,,위험성 평가표,,,,,,안전관리자,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
생성날짜,2026-08-06,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
카테고리,위험도,점검이름,,구역,점검일시,,담당자,내용,,조치 전 사진,,조치이름,,구역,점검일시,,담당자,,내용,,조치 후 사진,,승인자,타입
화재 감지,상,,,집,2026-08-03 09:00:00,,작업자10,본 점검에 대한 조치가 필요합니다.,,,,,,,,,,,,,,,,
화재 감지,상,,,운동장,2026-08-03 09:00:00,,작업자10,점검자 메모 프로세스 확인용입니다.,,,,점검 조치 프로세스 항목,,운동장,,,,,,,,,,점검이력
화재 감지,상,,,기석님 집,2026-08-03 09:00:00,,작업자10,본 점검에 대한 조치가 필요합니다.,,,,,,,,,,,,,,,,
적재물,중,,,B동 자재창고,2026-08-03 00:00:00,,작업자10,[매월] 정기 점검 자동 생성 건입니다.,,,,,,,,,,,,,,,,
충돌,중,,,C동 하역장,2026-08-01 11:45:00,,작업자10,보호구 불량입니다.,,,,,,,,,,,,,,,,
충돌,중,,,C동 하역장,2026-08-01 11:45:00,,작업자10,본 점검에 대한 조치가 필요합니다.,,,,,,,,,,,,,,,,
충돌,중,,,C동 하역장,2026-07-31 11:45:52,,작업자10,[매일] 정기 점검 자동 생성 건입니다.,,,,,,,,,,,,,,,,
충돌,중,,,D동 정문,2026-07-30 15:52:16,,작업자10,[매일] 정기 점검 자동 생성 건입니다.,,,,,,,,,,,,,,,,
충돌,중,,,C동 하역장,2026-07-30 15:52:16,,작업자10,조치하였습니다.,,,,,,,,,,,,,,,,
적재물,중,,,B동 자재창고,2026-07-29 05:43:54,,김작업,비상 통로 확보 상태가 양호합니다.,,,,,,,,,,,,,,,,
적재물,중,,,A동 복도,2026-07-29 03:43:54,,김작업,조치가 필요합니다.,,,,비상구 및 대피로 장애물 점검,,A동 복도,,,,,,,,,,점검이력
화재 감지,상,,,B동 2층,2026-07-28 08:43:54,,현수,소화기 앞 박스 적치물이 발견되어 제거 조치가 필요합니다.,,,,소화기 배치 상태 점검,,B동 2층,,,,,,,,,,점검이력
현수님,중,,,,,,,,,,,리포트에 이상이 있습니다.,,살려주세요,,,,,,,,,,게시판
ㄴㄴ,상,,,,,,,,,,,게시판-조치테이블-담당자 배정 리포트 생성,,집,,,,,,,,,,게시판
ㄴㄴ,상,,,,,,,,,,,조치 이름이 Action_name에 들어가는지 확인합니다.,,집,,,,,,,,,,게시판
화재 감지,상,,,,,,,,,,,worker10 조치,,,,,,,,,,,,직접추가
화재 감지,상,,,,,,,,,,,A동 복도 소화기 배치 재점검 요청,,A동 복도,,,,,,,,,,게시판
