회사,,,,위험성 평가표,,,,,,안전관리자,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
생성날짜,2026-08-08,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
카테고리,위험도,점검이름,,구역,점검일시,,담당자,내용,,조치 전 사진,,조치이름,,구역,점검일시,,담당자,,내용,,조치 후 사진,,승인자,타입
화재 감지,상,소방안전,,집,2026-08-03 09:00:00,,작업자10,조치가 필요하다고 확인됐다.,,,,,,,,,,,,,,,,
화재 감지,상,소방안전,,운동장,2026-08-03 09:00:00,,작업자10,점검자 메모 프로세스 확인용이다.,,,,점검 조치 프로세스 항목,,운동장,2026-08-03 10:33:50,,작업자10,,,,,,판교관리자,점검이력
화재 감지,상,소방안전,,기석님 집,2026-08-03 09:00:00,,작업자10,조치가 필요하다고 확인됐다.,,,,,,,,,,,,,,,,
적재물,중,시설안전,,B동 자재창고,2026-08-03 00:00:00,,작업자10,[매월] 정기 점검 자동 생성 건이다.,,,,,,,,,,,,,,,,
충돌,중,산업안전,,C동 하역장,2026-08-01 11:45:00,,작업자10,보호구 불량으로 확인됐다.,,,,,,,,,,,,,,,,
충돌,중,산업안전,,C동 하역장,2026-08-01 11:45:00,,작업자10,조치가 필요하다고 확인됐다.,,,,,,,,,,,,,,,,
충돌,중,산업안전,,C동 하역장,2026-07-31 11:45:52,,작업자10,[매일] 정기 점검 자동 생성 건이다.,,,,,,,,,,,,,,,,
충돌,중,산업안전,,D동 정문,2026-07-30 15:52:16,,작업자10,[매일] 정기 점검 자동 생성 건이다.,,,,,,,,,,,,,,,,
충돌,중,산업안전,,C동 하역장,2026-07-30 15:52:16,,작업자10,조치가 필요하다고 확인됐다.,,,,,,,,,,,,,,,,
적재물,중,시설안전,,B동 자재창고,2026-07-29 05:43:54,,김작업,비상 통로 확보가 양호하다.,,,,,,,,,,,,,,,,
적재물,중,시설안전,,A동 복도,2026-07-29 03:43:54,,김작업,조치가 필요하다.,,,,비상구 및 대피로 장애물 점검,,A동 복도,2026-07-31 10:17:09,,작업자10,,,,,,판교관리자,점검이력
화재 감지,상,소방안전,,B동 2층,2026-07-28 08:43:54,,현수,소화기 앞 박스 적치물이 발견되어 제거 조치가 필요하다.,,,,소화기 배치 상태 점검,,B동 2층,2026-07-29 02:43:54,,김작업,,,,,,현수,점검이력
현수님,중,소방안전,,,,,,,,http://127.0.0.1:8000/static/uploads/action_history_45_20260805162700961975_0b300863.png,,리포트에 이상이 있다,,살려주세요,2026-08-05 16:27:01,,작업자24,,,,http://127.0.0.1:8000/static/uploads/action_history_45_20260805162700961975_0b300863.png,,판교관리자,게시판
ㄴㄴ,상,기타,,,,,,,,http://127.0.0.1:8000/static/uploads/action_history_44_20260805161205525013_78ff6b6a.png,,게시판-조치테이블-담당자 배정 및 리포트 생성,,집,2026-08-05 16:12:06,,작업자22,,,,http://127.0.0.1:8000/static/uploads/action_history_44_20260805161205525013_78ff6b6a.png,,판교관리자,게시판
ㄴㄴ,상,기타,,,,,,,,http://127.0.0.1:8000/static/uploads/action_history_42_20260805160825009402_7d15c7db.png,,조치명(Action_name) 적합성 확인,,집,2026-08-05 16:08:25,,작업자23,,,,http://127.0.0.1:8000/static/uploads/action_history_42_20260805160825009402_7d15c7db.png,,판교관리자,게시판
화재 감지,상,소방안전,,,,,,,,http://127.0.0.1:8000/static/uploads/action_history_21_20260803101823659726_cdfaccd8.png,,worker10 조치,,",",2026-08-03 10:18:24,,작업자10,,,,http://127.0.0.1:8000/static/uploads/action_history_21_20260803101823659726_cdfaccd8.png,,판교관리자,직접추가
화재 감지,상,소방안전,,,,,,,,http://127.0.0.1:8000/static/uploads/board_1785201730.jpg,,A동 복도 소화기 배치 재점검 요청,,A동 복도,2026-07-29 06:43:54,,,,,,http://127.0.0.1:8000/static/uploads/board_1785201730.jpg,,현수,게시판
